FID,Shape,DPTO_CCDGO,MPIO_CCDGO,MUNICIPIO,DEPARTAMENTO,PK,CODIGO_DANE,Region,CODIGO_PRO,PROVINCIA,RURALIDAD,Capital,Población,Área_No_Municipalizada,Instrumento,Categoria_Municipal,Nivel_Desempeño_Fiscal,PDET,ZOMAC,IRV,INFORMALIDAD,Año,Cod_precio,irradiado_rango_prec,rango_prec,irradiado,Codigo_D1,Isocrona_25k_DPTO,Isocrona_25K_MPIO,Isocrona_25K_TIEMPO,Isocrona_25K_HORA,Isocrona_25K_DIST,Isocrona_CAPIT_DPTO,Isocrona_CAPI_MPIO,Isocrona_CAPI_TIEMPO,Isocrona_CAPI_HORA,Isocrona_CAPI_DIST,Tamaño_Predial_Area,Tamaño_predial_AREA_HA,Tamaño_predial_numero,Tamaño_Predial_numero_(ha),GRUPO_UFH,AREA_UFH,Uso_agrope,Observacio,VCRT_valor_medio
938,Polygon,41,357,IQUIRA,HUILA,41357,41357,Andina,4102,NORTE,Rural disperso,-,9939,-,1. EOT,SEIS,G2_MEDIO_ALTO,No PDET,NO ZOMAC,Medio,0.351273,2018,3.2.1,Mayor que 20 - hasta 30,Mayor que 20 - hasta 30,0,41357.0,Huila,LA PLATA,1.900711,A2. Mayor que 1 y menor que 2 horas,54.002648,Huila,NEIVA,2.246908,A3. Mayor que 2 y menor que 3 horas,65.723968,Mediana propiedad,788.1756030021938,Pequeña propiedad,114.0,3,1044.956888,SI,-,
939,Polygon,41,359,ISNOS,HUILA,41359,41359,Andina,4104,SUR,Rural disperso,-,27197,-,1. EOT,SEIS,G5_BAJO,No PDET, ZOMAC,Medio,0.750262,2018,3.3.1,Irradiado_Mayor que 70 - hasta 80,Mayor que 70 - hasta 80,1,41359.0,Huila,PITALITO,0.836419,A1. Menos 1 hora,34.149242,Cauca,POPAYÁN,3.721414,A4. Mayor que 3 y menor que 4 horas,101.527121,Pequeña propiedad,18.82115305869171,Pequeña propiedad,19.0,1,11.20636,SI,-,
940,Polygon,41,378,LA ARGENTINA,HUILA,41378,41378,Andina,4103,OCCIDENTE,Rural,-,13884,-,1. EOT,SEIS,G2_MEDIO_ALTO,No PDET,NO ZOMAC,Medio,0.502722,2018,3.2.1,Mayor que 20 - hasta 30,Mayor que 20 - hasta 30,0,41378.0,Huila,LA PLATA,0.799054,A1. Menos 1 hora,30.211984,Cauca,POPAYÁN,2.90241,A3. Mayor que 2 y menor que 3 horas,102.337172,Pequeña propiedad,1723.056399894995,Pequeña propiedad,667.0,1,1256.306878,SI,-,
941,Polygon,41,396,LA PLATA,HUILA,41396,41396,Andina,4103,OCCIDENTE,Intermedio,-,65676,-,2. PBOT,SEIS,G1_ALTO,No PDET,NO ZOMAC,Medio,0.290828,2018,3.2.1,Irradiado_Mayor que 60 - hasta 70,Mayor que 60 - hasta 70,1,41396.0,Huila,LA PLATA,0.0,A1. Menos 1 hora,0.0,Huila,NEIVA,2.651419,A3. Mayor que 2 y menor que 3 horas,126.15088,Pequeña propiedad,2191.353159599874,Pequeña propiedad,943.0,2,2372.586602,SI,-,
942,Polygon,41,483,NATAGA,HUILA,41483,41483,Andina,4103,OCCIDENTE,Rural,-,6950,-,1. EOT,SEIS,G3_MEDIO,No PDET,NO ZOMAC,Medio Bajo,0.431569,2018,3.1.2,Irradiado_Mayor que 30 - hasta 40,Mayor que 30 - hasta 40,1,41483.0,Huila,LA PLATA,0.689909,A1. Menos 1 hora,23.239192,Huila,NEIVA,2.504605,A3. Mayor que 2 y menor que 3 horas,120.12834,Pequeña propiedad,866.1882116186551,Pequeña propiedad,269.0,4,841.338617,SI,-,
943,Polygon,41,503,OPORAPA,HUILA,41503,41503,Andina,4104,SUR,Rural,-,12537,-,1. EOT,SEIS,G5_BAJO,No PDET,NO ZOMAC,Medio Bajo,0.646561,2018,3.2.2,Mayor que 30 - hasta 40,Mayor que 30 - hasta 40,0,41503.0,Huila,PITALITO,0.881513,A1. Menos 1 hora,26.773506,Cauca,POPAYÁN,4.037999,A5. Mayor que 4 y menor que 5 horas,137.911897,Pequeña propiedad,181.1103833737246,Pequeña propiedad,140.0,4,99.271752,SI,-,
944,Polygon,41,518,PAICOL,HUILA,41518,41518,Andina,4103,OCCIDENTE,Rural,-,7078,-,1. EOT,SEIS,G5_BAJO,No PDET,NO ZOMAC,Bajo,0.318144,2018,3.2.1,Irradiado_Mayor que 30 - hasta 40,Mayor que 30 - hasta 40,1,41518.0,Huila,LA PLATA,0.575232,A1. Menos 1 hora,22.932085,Huila,NEIVA,2.13197,A3. Mayor que 2 y menor que 3 horas,105.315851,Mediana propiedad,1305.838012831072,Pequeña propiedad,96.0,1,1752.670926,SI,-,
945,Polygon,41,524,PALERMO,HUILA,41524,41524,Andina,4102,NORTE,Rural,-,28245,-,1. EOT,SEIS,G2_MEDIO_ALTO,No PDET,NO ZOMAC,Medio Bajo,0.255495,2018,3.3.2,Irradiado_Mayor que 70 - hasta 80,Mayor que 70 - hasta 80,1,41524.0,Huila,NEIVA,0.768055,A1. Menos 1 hora,24.920815,Huila,NEIVA,0.718219,A1. Menos 1 hora,24.020815,Mediana propiedad,72.56190104476873,Pequeña propiedad,592.0,2,93.741509,SI,-,
946,Polygon,41,530,PALESTINA,HUILA,41530,41530,Andina,4104,SUR,Rural,-,12077,-,1. EOT,SEIS,G5_BAJO,No PDET,NO ZOMAC,Medio Bajo,0.751073,2018,3.2.2,Irradiado_Mayor que 20 - hasta 30,Mayor que 20 - hasta 30,1,41530.0,Huila,PITALITO,0.716986,A1. Menos 1 hora,23.017872,Putumayo,MOCOA,2.830201,A3. Mayor que 2 y menor que 3 horas,106.049661,Pequeña propiedad,1763.478746297843,Pequeña propiedad,600.0,2,1878.412578,SI,-,
947,Polygon,41,548,PITAL,HUILA,41548,41548,Andina,4101,CENTRO,Intermedio,-,14791,-,1. EOT,SEIS,G3_MEDIO,No PDET,NO ZOMAC,Medio Bajo,0.54022,2018,3.2.1,Irradiado_Mayor que 60 - hasta 70,Mayor que 60 - hasta 70,1,41548.0,Huila,GARZÓN,0.943071,A1. Menos 1 hora,28.293607,Huila,NEIVA,3.086381,A4. Mayor que 3 y menor que 4 horas,135.76215,Pequeña propiedad,664.0599363049752,Pequeña propiedad,258.0,2,990.116638,SI,-,
948,Polygon,41,551,PITALITO,HUILA,41551,41551,Andina,4104,SUR,Intermedio,-,134110,-,3. POT,CUATRO,G5_BAJO,No PDET,NO ZOMAC,Medio,0.398268,2018,3.3.2,Irradiado_Mayor que 70 - hasta 80,Mayor que 70 - hasta 80,1,41551.0,Huila,PITALITO,0.0,A1. Menos 1 hora,0.0,Putumayo,MOCOA,3.287028,A4. Mayor que 3 y menor que 4 horas,126.243268,Pequeña propiedad,6157.403018420906,Pequeña propiedad,2345.0,2,5586.996009,SI,-,
949,Polygon,41,615,RIVERA,HUILA,41615,41615,Andina,4102,NORTE,Rural,-,26153,-,1. EOT,SEIS,G2_MEDIO_ALTO,No PDET,NO ZOMAC,Medio Bajo,0.247999,2018,3.3.1,Irradiado_Mayor que 70 - hasta 80,Mayor que 70 - hasta 80,1,41615.0,Huila,NEIVA,0.711814,A1. Menos 1 hora,24.623759,Huila,NEIVA,0.59898,A1. Menos 1 hora,23.216652,Mediana propiedad,5561.784916222582,Pequeña propiedad,3441.0,2,9273.158012,SI,-,
950,Polygon,41,660,SALADOBLANCO,HUILA,41660,41660,Andina,4104,SUR,Rural disperso,-,11265,-,1. EOT,SEIS,G5_BAJO,No PDET,NO ZOMAC,Medio,0.735269,2018,3.2.2,Irradiado_Mayor que 40 - hasta 50,Mayor que 40 - hasta 50,1,41660.0,Huila,PITALITO,0.910337,A1. Menos 1 hora,26.556349,Putumayo,MOCOA,4.093321,A5. Mayor que 4 y menor que 5 horas,152.175353,Pequeña propiedad,4208.586640062274,Pequeña propiedad,1500.0,2,4171.41025,SI,-,
951,Polygon,41,668,SAN AGUSTIN,HUILA,41668,41668,Andina,4104,SUR,Rural,-,35550,-,2. PBOT,SEIS,G2_MEDIO_ALTO,No PDET,NO ZOMAC,Medio,0.569954,2018,4.1.1,Irradiado_Mayor que 80 - hasta 100,Mayor que 80 - hasta 100,1,41668.0,Huila,PITALITO,0.708151,A1. Menos 1 hora,31.535029,Putumayo,MOCOA,3.70332,A4. Mayor que 3 y menor que 4 horas,146.525606,Pequeña propiedad,139.9090068817218,Pequeña propiedad,78.0,1,136.610318,SI,-,
